epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1021.17,0.8541,0.85894,0.01077,0.65865,0.70254,0.74805,0.63403,0.71948,1.07363,0.01016,0.00799171,0.00799171,0.00799171
73,1033.94,0.75365,0.77905,0.00931,0.79791,0.71348,0.8131,0.68862,0.71791,0.81555,0.01058,0.00796343,0.00796343,0.00796343
74,1046.6,0.77533,0.72491,0.00957,0.84047,0.72213,0.85503,0.72946,0.67641,0.79379,0.00968,0.00793514,0.00793514,0.00793514
75,1059.22,0.74471,0.74467,0.00986,0.72046,0.75788,0.80817,0.66496,0.74793,0.85065,0.01081,0.00790686,0.00790686,0.00790686
76,1071.79,0.7421,0.69915,0.00938,0.79782,0.69336,0.79097,0.6608,0.72948,0.94894,0.01054,0.00787857,0.00787857,0.00787857
77,1084.41,0.73003,0.73292,0.00934,0.69067,0.81293,0.82246,0.69205,0.74284,0.81392,0.01099,0.00785029,0.00785029,0.00785029
78,1097.22,0.73402,0.69587,0.00888,0.71212,0.75578,0.81347,0.67354,0.74669,0.87307,0.01226,0.007822,0.007822,0.007822
79,1109.94,0.7702,0.73054,0.01008,0.85575,0.62492,0.8123,0.68629,0.74355,0.86034,0.01093,0.00779371,0.00779371,0.00779371
80,1122.61,0.75655,0.75091,0.00968,0.68993,0.69409,0.79169,0.66203,0.75497,1.0222,0.01134,0.00776543,0.00776543,0.00776543
81,1135.15,0.77782,0.78375,0.01029,0.81766,0.66935,0.82113,0.68085,0.76388,0.78456,0.01143,0.00773714,0.00773714,0.00773714
82,1147.76,0.74481,0.75335,0.00965,0.77108,0.75386,0.83754,0.70203,0.71517,0.84412,0.01031,0.00770886,0.00770886,0.00770886
83,1160.39,0.76129,0.72326,0.00955,0.68608,0.78728,0.82436,0.68349,0.76781,0.83668,0.01205,0.00768057,0.00768057,0.00768057
84,1172.91,0.74978,0.68096,0.00992,0.77349,0.72795,0.82848,0.72023,0.62523,0.86713,0.00895,0.00765229,0.00765229,0.00765229
85,1185.64,0.72703,0.72288,0.00894,0.84341,0.67497,0.82837,0.69034,0.76057,0.88554,0.01219,0.007624,0.007624,0.007624
86,1198.31,0.76911,0.77287,0.00973,0.77002,0.74018,0.81581,0.68822,0.70667,0.92222,0.00996,0.00759571,0.00759571,0.00759571
87,1210.98,0.69969,0.68265,0.00854,0.69532,0.70635,0.77376,0.66556,0.66107,1.02179,0.00986,0.00756743,0.00756743,0.00756743
88,1223.58,0.74782,0.74238,0.00966,0.69451,0.79552,0.82819,0.70558,0.7024,0.80031,0.01036,0.00753914,0.00753914,0.00753914
89,1236.21,0.72278,0.71488,0.00948,0.80429,0.69339,0.79212,0.68193,0.65102,0.99862,0.00925,0.00751086,0.00751086,0.00751086
90,1248.84,0.71483,0.74414,0.00887,0.80665,0.72846,0.83313,0.68058,0.73518,0.92338,0.01092,0.00748257,0.00748257,0.00748257
91,1261.46,0.76215,0.71189,0.00985,0.69006,0.74569,0.8111,0.67725,0.7062,0.8965,0.01022,0.00745429,0.00745429,0.00745429
92,1274.04,0.74166,0.68425,0.00958,0.73672,0.73127,0.79406,0.67192,0.71698,0.90979,0.01045,0.007426,0.007426,0.007426
93,1286.79,0.71862,0.68531,0.00853,0.79634,0.69342,0.77971,0.68107,0.62356,1.00301,0.00882,0.00739771,0.00739771,0.00739771
94,1299.54,0.70484,0.6796,0.00908,0.71392,0.84258,0.84987,0.72249,0.66077,0.80828,0.00911,0.00736943,0.00736943,0.00736943
95,1312.31,0.69532,0.67115,0.00895,0.76405,0.75439,0.802,0.689,0.68853,0.85372,0.0099,0.00734114,0.00734114,0.00734114
96,1325.03,0.73316,0.69025,0.00904,0.58773,0.79999,0.79498,0.69308,0.64324,0.9191,0.00931,0.00731286,0.00731286,0.00731286
97,1337.67,0.69438,0.69359,0.0087,0.77974,0.75889,0.83356,0.73134,0.59905,0.79543,0.00871,0.00728457,0.00728457,0.00728457
98,1350.31,0.6577,0.66245,0.00862,0.63152,0.78922,0.79894,0.6806,0.64503,0.87221,0.00929,0.00725629,0.00725629,0.00725629
99,1362.91,0.68536,0.68556,0.00865,0.80144,0.76921,0.84196,0.72589,0.62058,0.8206,0.00905,0.007228,0.007228,0.007228
100,1375.43,0.70298,0.67729,0.00866,0.87791,0.68386,0.82478,0.71657,0.62494,0.81563,0.00897,0.00719971,0.00719971,0.00719971
101,1388.03,0.68244,0.59174,0.00841,0.64888,0.81878,0.82153,0.69097,0.67508,0.88216,0.00993,0.00717143,0.00717143,0.00717143
102,1400.66,0.6873,0.61449,0.00871,0.74138,0.75642,0.83284,0.72882,0.58707,0.81556,0.008,0.00714314,0.00714314,0.00714314
103,1413.24,0.65891,0.5627,0.00849,0.8064,0.81887,0.8694,0.74604,0.62978,0.70147,0.00878,0.00711486,0.00711486,0.00711486
104,1425.82,0.68607,0.61048,0.00884,0.74658,0.82556,0.85252,0.73235,0.64505,0.82227,0.01006,0.00708657,0.00708657,0.00708657
105,1438.37,0.67406,0.66739,0.0085,0.70281,0.81463,0.81722,0.68877,0.67738,0.83275,0.01042,0.00705829,0.00705829,0.00705829
106,1450.91,0.70704,0.7317,0.00895,0.81277,0.72815,0.79515,0.67068,0.6548,0.928,0.00901,0.00703,0.00703,0.00703
107,1463.47,0.66521,0.6517,0.00854,0.76082,0.79188,0.83277,0.72667,0.62842,0.78926,0.0092,0.00700171,0.00700171,0.00700171
108,1476.02,0.66516,0.66345,0.00795,0.78622,0.80861,0.84778,0.73223,0.6792,0.69962,0.01055,0.00697343,0.00697343,0.00697343
109,1488.62,0.63031,0.59913,0.00795,0.73588,0.79399,0.81477,0.70726,0.62889,0.77888,0.00937,0.00694514,0.00694514,0.00694514
110,1501.21,0.63806,0.55786,0.0082,0.71136,0.80466,0.8205,0.70775,0.66067,0.81445,0.00968,0.00691686,0.00691686,0.00691686
111,1513.77,0.69476,0.66673,0.00891,0.83148,0.8349,0.89182,0.76863,0.62249,0.63053,0.00887,0.00688857,0.00688857,0.00688857
112,1526.29,0.71806,0.67037,0.00893,0.83553,0.76432,0.85837,0.75279,0.59832,0.72151,0.00906,0.00686029,0.00686029,0.00686029
113,1539.07,0.70668,0.58021,0.00862,0.77022,0.72531,0.83534,0.72909,0.62265,0.82413,0.00947,0.006832,0.006832,0.006832
114,1551.71,0.67193,0.52589,0.00873,0.76251,0.80657,0.85508,0.73924,0.66117,0.75599,0.0099,0.00680371,0.00680371,0.00680371
115,1564.33,0.65696,0.57404,0.00816,0.79962,0.77799,0.84681,0.74265,0.61234,0.79709,0.00847,0.00677543,0.00677543,0.00677543
116,1576.89,0.62914,0.47524,0.00805,0.82063,0.77477,0.8776,0.75935,0.62141,0.72454,0.00939,0.00674714,0.00674714,0.00674714
117,1589.51,0.65992,0.56016,0.00823,0.81707,0.80559,0.89482,0.77896,0.59745,0.62591,0.00837,0.00671886,0.00671886,0.00671886
118,1602.11,0.6101,0.51761,0.00736,0.85243,0.74378,0.83646,0.73156,0.61746,0.87939,0.0093,0.00669057,0.00669057,0.00669057
119,1614.71,0.6097,0.50767,0.00779,0.80143,0.83365,0.87747,0.76557,0.6128,0.72103,0.00942,0.00666229,0.00666229,0.00666229
120,1627.28,0.62559,0.51976,0.0078,0.82315,0.74386,0.85732,0.7461,0.65682,0.92612,0.00997,0.006634,0.006634,0.006634
121,1639.9,0.64299,0.53606,0.00812,0.84422,0.83489,0.8789,0.76357,0.6333,0.70314,0.00916,0.00660571,0.00660571,0.00660571
122,1652.5,0.61441,0.56131,0.00738,0.83783,0.76299,0.86056,0.75007,0.58448,0.82747,0.00857,0.00657743,0.00657743,0.00657743
123,1665.09,0.64004,0.50876,0.00819,0.83628,0.77503,0.87851,0.7642,0.61694,0.70984,0.00925,0.00654914,0.00654914,0.00654914
124,1677.58,0.61489,0.56535,0.00735,0.81688,0.74042,0.86061,0.75202,0.6198,0.75801,0.00939,0.00652086,0.00652086,0.00652086
125,1690.18,0.62275,0.53066,0.00807,0.80901,0.81255,0.88166,0.78043,0.59216,0.64489,0.00895,0.00649257,0.00649257,0.00649257
126,1702.76,0.61185,0.54311,0.00775,0.83872,0.78388,0.88882,0.77496,0.58644,0.66995,0.00829,0.00646429,0.00646429,0.00646429
127,1715.38,0.61518,0.54147,0.00752,0.85886,0.80279,0.89926,0.7836,0.59504,0.63025,0.00854,0.006436,0.006436,0.006436
128,1727.92,0.59263,0.50889,0.00728,0.84959,0.76347,0.86985,0.76364,0.61597,0.84069,0.00938,0.00640771,0.00640771,0.00640771
129,1740.5,0.59268,0.48218,0.00737,0.91763,0.77401,0.89961,0.78016,0.6168,0.61623,0.00881,0.00637943,0.00637943,0.00637943
130,1753.09,0.58949,0.44295,0.00744,0.80012,0.83553,0.88049,0.77568,0.57401,0.69117,0.00829,0.00635114,0.00635114,0.00635114
131,1765.7,0.56026,0.51056,0.00716,0.80399,0.76595,0.85511,0.74823,0.59701,0.75267,0.00882,0.00632286,0.00632286,0.00632286
132,1778.29,0.61161,0.46171,0.00757,0.90324,0.72936,0.87938,0.77883,0.55734,0.63588,0.00817,0.00629457,0.00629457,0.00629457
133,1790.94,0.58337,0.5306,0.00736,0.83552,0.7972,0.88001,0.78479,0.54353,0.69389,0.00803,0.00626629,0.00626629,0.00626629
134,1803.6,0.58734,0.49579,0.00718,0.75498,0.83355,0.87153,0.77507,0.52231,0.76688,0.00776,0.006238,0.006238,0.006238
135,1816.17,0.60645,0.48745,0.00773,0.83744,0.74488,0.86416,0.75673,0.5816,0.77722,0.00879,0.00620971,0.00620971,0.00620971
136,1828.73,0.59599,0.54032,0.00767,0.79996,0.85715,0.9039,0.79617,0.56292,0.6383,0.00861,0.00618143,0.00618143,0.00618143
137,1841.4,0.60688,0.50681,0.00748,0.78308,0.88627,0.89602,0.78811,0.59729,0.64162,0.00873,0.00615314,0.00615314,0.00615314
138,1854.04,0.5948,0.4997,0.00765,0.90708,0.70843,0.868,0.76792,0.59307,0.69788,0.00845,0.00612486,0.00612486,0.00612486
139,1866.67,0.5919,0.51668,0.0074,0.7256,0.87469,0.87303,0.76903,0.61129,0.69451,0.00895,0.00609657,0.00609657,0.00609657
140,1879.23,0.59163,0.44436,0.00737,0.8121,0.78213,0.83918,0.73271,0.6428,0.81017,0.00929,0.00606829,0.00606829,0.00606829
141,1891.82,0.59085,0.43995,0.00762,0.88638,0.78114,0.87854,0.78829,0.57646,0.65232,0.00819,0.00604,0.00604,0.00604
142,1904.53,0.57586,0.47642,0.00761,0.86172,0.81156,0.89293,0.79914,0.58944,0.62237,0.00882,0.00601171,0.00601171,0.00601171
143,1917.21,0.57054,0.43596,0.00708,0.88582,0.82012,0.89665,0.80129,0.55813,0.66648,0.00842,0.00598343,0.00598343,0.00598343
144,1929.8,0.55905,0.46873,0.00717,0.87907,0.8194,0.90385,0.78495,0.6106,0.6394,0.00938,0.00595514,0.00595514,0.00595514
145,1942.43,0.60255,0.46879,0.00782,0.87778,0.8246,0.89501,0.77368,0.62182,0.62747,0.00931,0.00592686,0.00592686,0.00592686
146,1955.05,0.56283,0.42409,0.0073,0.84206,0.91453,0.92358,0.80837,0.5786,0.56571,0.00854,0.00589857,0.00589857,0.00589857
147,1967.66,0.54661,0.40136,0.00683,0.88606,0.87407,0.92648,0.82887,0.54346,0.55474,0.008,0.00587029,0.00587029,0.00587029
148,1980.25,0.54305,0.43382,0.00677,0.87816,0.85114,0.9036,0.79898,0.56733,0.60876,0.00825,0.005842,0.005842,0.005842
149,1992.88,0.54931,0.45039,0.00663,0.90412,0.73049,0.86674,0.77463,0.56427,0.78075,0.00803,0.00581371,0.00581371,0.00581371
150,2005.54,0.56399,0.4278,0.00719,0.86826,0.86337,0.89635,0.78425,0.58161,0.64479,0.00859,0.00578543,0.00578543,0.00578543
151,2018.21,0.5368,0.39603,0.00667,0.8821,0.87667,0.90793,0.80742,0.52998,0.60667,0.00791,0.00575714,0.00575714,0.00575714
152,2030.83,0.54679,0.39553,0.00667,0.87965,0.84475,0.88623,0.77401,0.60875,0.67715,0.00909,0.00572886,0.00572886,0.00572886
153,2043.44,0.5569,0.42487,0.00699,0.89357,0.86443,0.9143,0.81288,0.57647,0.57542,0.00828,0.00570057,0.00570057,0.00570057
154,2056.1,0.5709,0.39661,0.00732,0.87412,0.80891,0.90571,0.80974,0.54914,0.55957,0.00781,0.00567229,0.00567229,0.00567229
155,2068.76,0.54706,0.4102,0.0068,0.83563,0.86089,0.9064,0.79878,0.59038,0.56448,0.00866,0.005644,0.005644,0.005644
156,2081.37,0.57483,0.45834,0.00725,0.73743,0.80239,0.87647,0.78039,0.54718,0.73482,0.00784,0.00561571,0.00561571,0.00561571
157,2093.97,0.55611,0.44887,0.00675,0.84855,0.8061,0.87731,0.78039,0.53753,0.70476,0.00757,0.00558743,0.00558743,0.00558743
158,2106.54,0.52812,0.45398,0.00654,0.83192,0.82308,0.88875,0.79666,0.52552,0.6406,0.00744,0.00555914,0.00555914,0.00555914
159,2119.07,0.5077,0.44421,0.00637,0.84698,0.79589,0.88283,0.80225,0.52418,0.71184,0.00753,0.00553086,0.00553086,0.00553086
160,2131.63,0.55066,0.41665,0.00675,0.83692,0.84096,0.8967,0.78786,0.58026,0.64792,0.00841,0.00550257,0.00550257,0.00550257
161,2144.26,0.55456,0.48945,0.00667,0.81548,0.81361,0.88377,0.79278,0.5397,0.67996,0.00782,0.00547429,0.00547429,0.00547429
162,2156.89,0.51711,0.3786,0.00646,0.84705,0.78744,0.89519,0.80328,0.55878,0.68193,0.00844,0.005446,0.005446,0.005446
163,2169.48,0.54422,0.35834,0.00694,0.85826,0.86179,0.90058,0.80113,0.57168,0.66313,0.00848,0.00541771,0.00541771,0.00541771
164,2181.96,0.55976,0.38221,0.00701,0.78518,0.87326,0.90413,0.79896,0.5623,0.68836,0.00809,0.00538943,0.00538943,0.00538943
165,2194.52,0.52666,0.39075,0.00659,0.86536,0.85615,0.90506,0.80975,0.58634,0.58232,0.00883,0.00536114,0.00536114,0.00536114
