epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,1179.98,0.56765,0.50287,0.0067,0.7612,0.77664,0.80941,0.70523,0.56324,0.84808,0.00797,0.0260966,0.00869886,0.0260966,0.00869886,0.0260966,0.00869886,0.0260966,0.00869886
48,1204.88,0.54183,0.46857,0.00632,0.72381,0.75943,0.82956,0.73921,0.51966,0.8197,0.0074,0.0260117,0.00867057,0.0260117,0.00867057,0.0260117,0.00867057,0.0260117,0.00867057
49,1231.13,0.5316,0.46801,0.00658,0.7498,0.80243,0.84952,0.7577,0.50844,0.82316,0.00703,0.0259269,0.00864229,0.0259269,0.00864229,0.0259269,0.00864229,0.0259269,0.00864229
50,1255.9,0.54238,0.46249,0.0066,0.80256,0.82706,0.90579,0.81302,0.47505,0.65692,0.00613,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
51,1282.05,0.5387,0.48902,0.00659,0.78522,0.74502,0.82026,0.71743,0.59624,0.99228,0.00856,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
52,1307.09,0.54871,0.48737,0.00683,0.82153,0.76648,0.83384,0.72111,0.60268,0.74125,0.0081,0.0256723,0.00855743,0.0256723,0.00855743,0.0256723,0.00855743,0.0256723,0.00855743
53,1333.03,0.55531,0.48928,0.00664,0.75443,0.7968,0.85365,0.74029,0.59747,0.801,0.00869,0.0255874,0.00852914,0.0255874,0.00852914,0.0255874,0.00852914,0.0255874,0.00852914
54,1358.6,0.54626,0.4983,0.00624,0.71851,0.78141,0.81536,0.72224,0.52893,0.87981,0.00735,0.0255026,0.00850086,0.0255026,0.00850086,0.0255026,0.00850086,0.0255026,0.00850086
55,1384.69,0.53993,0.44701,0.00613,0.84465,0.75705,0.87523,0.76456,0.58853,0.72963,0.00844,0.0254177,0.00847257,0.0254177,0.00847257,0.0254177,0.00847257,0.0254177,0.00847257
56,1409.69,0.53467,0.43954,0.00636,0.85259,0.78545,0.88337,0.79226,0.51029,0.68461,0.00701,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
57,1438.39,0.52792,0.43915,0.00634,0.7254,0.85928,0.88099,0.78619,0.50552,0.69595,0.00702,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
58,1467.49,0.51354,0.42548,0.00632,0.73669,0.84781,0.86866,0.77145,0.49285,0.67299,0.00698,0.0251631,0.00838771,0.0251631,0.00838771,0.0251631,0.00838771,0.0251631,0.00838771
59,1498.16,0.52178,0.453,0.00604,0.82084,0.78431,0.85954,0.76884,0.52302,0.74234,0.00726,0.0250783,0.00835943,0.0250783,0.00835943,0.0250783,0.00835943,0.0250783,0.00835943
60,1531.2,0.51102,0.42685,0.00605,0.80402,0.83327,0.89194,0.8006,0.48485,0.60863,0.0067,0.0249934,0.00833114,0.0249934,0.00833114,0.0249934,0.00833114,0.0249934,0.00833114
61,1562.04,0.50664,0.3985,0.006,0.81773,0.81888,0.90645,0.81463,0.49564,0.61214,0.00669,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
62,1594.91,0.51978,0.4266,0.00629,0.7301,0.78637,0.84615,0.75403,0.49757,0.84053,0.00674,0.0248237,0.00827457,0.0248237,0.00827457,0.0248237,0.00827457,0.0248237,0.00827457
63,1625.49,0.49185,0.39245,0.00589,0.78664,0.77081,0.87182,0.78038,0.47815,0.69709,0.0066,0.0247389,0.00824629,0.0247389,0.00824629,0.0247389,0.00824629,0.0247389,0.00824629
64,1656.49,0.53034,0.41457,0.0067,0.71441,0.82812,0.84674,0.76004,0.47389,0.72309,0.00633,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
65,1686.15,0.50717,0.41825,0.00609,0.8291,0.76209,0.86658,0.77735,0.49883,0.71135,0.00666,0.0245691,0.00818971,0.0245691,0.00818971,0.0245691,0.00818971,0.0245691,0.00818971
66,1712.1,0.50015,0.43423,0.00613,0.71913,0.82846,0.84209,0.77083,0.47151,0.7202,0.00689,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
67,1732.35,0.50327,0.3822,0.00571,0.84567,0.79052,0.86931,0.77027,0.52471,0.73752,0.00705,0.0243994,0.00813314,0.0243994,0.00813314,0.0243994,0.00813314,0.0243994,0.00813314
68,1752.39,0.48754,0.35681,0.0058,0.80301,0.85296,0.88124,0.79584,0.4656,0.66813,0.00617,0.0243146,0.00810486,0.0243146,0.00810486,0.0243146,0.00810486,0.0243146,0.00810486
69,1776.83,0.4761,0.37239,0.00546,0.86021,0.74844,0.82948,0.7313,0.51715,0.80327,0.0072,0.0242297,0.00807657,0.0242297,0.00807657,0.0242297,0.00807657,0.0242297,0.00807657
70,1798.48,0.48951,0.42674,0.00572,0.83917,0.75433,0.86732,0.77142,0.50272,0.68043,0.00715,0.0241449,0.00804829,0.0241449,0.00804829,0.0241449,0.00804829,0.0241449,0.00804829
71,1818.83,0.49078,0.34923,0.0057,0.85419,0.81728,0.87655,0.78268,0.50028,0.63985,0.00698,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
72,1842.16,0.53123,0.41083,0.0062,0.77275,0.82549,0.8914,0.80349,0.46605,0.71398,0.00646,0.0239751,0.00799171,0.0239751,0.00799171,0.0239751,0.00799171,0.0239751,0.00799171
73,1867.71,0.47914,0.39382,0.0057,0.78247,0.85055,0.88321,0.79382,0.44638,0.68658,0.0059,0.0238903,0.00796343,0.0238903,0.00796343,0.0238903,0.00796343,0.0238903,0.00796343
74,1893.13,0.48593,0.37279,0.00547,0.89175,0.79733,0.92797,0.82845,0.4802,0.52797,0.00645,0.0238054,0.00793514,0.0238054,0.00793514,0.0238054,0.00793514,0.0238054,0.00793514
75,1919.26,0.4959,0.36162,0.00605,0.88468,0.79558,0.92408,0.81551,0.4906,0.55222,0.00675,0.0237206,0.00790686,0.0237206,0.00790686,0.0237206,0.00790686,0.0237206,0.00790686
76,1944.43,0.47657,0.3815,0.00549,0.80756,0.87127,0.89316,0.80682,0.47598,0.65417,0.00614,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
77,1970.16,0.48545,0.34595,0.00585,0.85972,0.82461,0.9131,0.81965,0.47343,0.55416,0.00644,0.0235509,0.00785029,0.0235509,0.00785029,0.0235509,0.00785029,0.0235509,0.00785029
78,1995.13,0.49402,0.32744,0.00552,0.81484,0.77711,0.8741,0.79306,0.45933,0.73747,0.00611,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
79,2020.89,0.48087,0.36451,0.00573,0.7626,0.76835,0.86561,0.77908,0.50096,0.83863,0.00671,0.0233811,0.00779371,0.0233811,0.00779371,0.0233811,0.00779371,0.0233811,0.00779371
80,2046.15,0.4675,0.32389,0.00541,0.69519,0.84348,0.85122,0.77137,0.48516,0.82922,0.00641,0.0232963,0.00776543,0.0232963,0.00776543,0.0232963,0.00776543,0.0232963,0.00776543
81,2072.21,0.49601,0.3831,0.00589,0.73565,0.80167,0.84146,0.7564,0.49486,0.78032,0.00638,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
82,2097.85,0.49166,0.38879,0.00575,0.80424,0.75775,0.84777,0.76638,0.49762,0.76484,0.00656,0.0231266,0.00770886,0.0231266,0.00770886,0.0231266,0.00770886,0.0231266,0.00770886
