epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
120;5556,51;0,70752;0,62765;0,009;0,81835;0,80715;0,87105;0,73381;0,71703;0,61435;0,00967;0,006634;0,006634;0,006634
121;5582,08;0,66909;0,56222;0,00871;0,74826;0,88289;0,87648;0,7199;0,74551;0,64822;0,01037;0,00660571;0,00660571;0,00660571
122;5614,68;0,69485;0,55264;0,00877;0,85114;0,80074;0,89294;0,74629;0,73331;0,62653;0,01009;0,00657743;0,00657743;0,00657743
123;5656,86;0,70542;0,576;0,00887;0,85544;0,73964;0,88269;0,73268;0,75361;0,62139;0,01028;0,00654914;0,00654914;0,00654914
124;5711,09;0,70285;0,54616;0,00909;0,83719;0,82268;0,89072;0,7371;0,74301;0,62567;0,00996;0,00652086;0,00652086;0,00652086
125;5739,53;0,67741;0,57124;0,00881;0,80173;0,86975;0,89418;0,74204;0,78691;0,62695;0,01072;0,00649257;0,00649257;0,00649257
126;5776,03;0,6504;0,5423;0,00853;0,86151;0,76448;0,90204;0,75469;0,73814;0,56462;0,01011;0,00646429;0,00646429;0,00646429
127;5818,39;0,62787;0,55877;0,00776;0,73087;0,90154;0,9082;0,77697;0,70828;0,59281;0,00954;0,006436;0,006436;0,006436
128;5860,82;0,68677;0,52538;0,00916;0,7581;0,86854;0,91796;0,78351;0,69263;0,55175;0,00934;0,00640771;0,00640771;0,00640771
129;5882,85;0,67912;0,55621;0,00894;0,80287;0,88062;0,92441;0,79068;0,67038;0,49208;0,00923;0,00637943;0,00637943;0,00637943
130;5931,11;0,68828;0,56063;0,00853;0,83627;0,78578;0,90135;0,76371;0,69576;0,5877;0,00948;0,00635114;0,00635114;0,00635114
131;5972,87;0,71146;0,55885;0,0093;0,70688;0,81486;0,84713;0,69515;0,79433;0,78681;0,01095;0,00632286;0,00632286;0,00632286
132;6036,03;0,68255;0,5428;0,00918;0,75136;0,87299;0,86774;0,73023;0,76133;0,71496;0,01022;0,00629457;0,00629457;0,00629457
133;6064,56;0,65841;0,5214;0,00827;0,81055;0,81847;0,87809;0,73107;0,76396;0,75696;0,01056;0,00626629;0,00626629;0,00626629
134;6132,18;0,68193;0,52809;0,00885;0,76608;0,85781;0,88048;0,75285;0,6791;0,68024;0,00928;0,006238;0,006238;0,006238
135;6186,64;0,64979;0,51547;0,0083;0,82018;0,83429;0,85385;0,71887;0,69624;0,70945;0,00948;0,00620971;0,00620971;0,00620971
136;6215,94;0,62956;0,49117;0,00829;0,87039;0,76853;0,89158;0,75487;0,69535;0,62226;0,00953;0,00618143;0,00618143;0,00618143
137;6272,67;0,62056;0,48114;0,00767;0,86899;0,80817;0,89652;0,76948;0,71816;0,5605;0,00991;0,00615314;0,00615314;0,00615314
138;6339,33;0,61089;0,47164;0,00744;0,79964;0,83966;0,90159;0,77516;0,68727;0,59215;0,00906;0,00612486;0,00612486;0,00612486
139;6405,44;0,6345;0,46724;0,00807;0,81799;0,8946;0,9149;0,77332;0,73616;0,50808;0,00983;0,00609657;0,00609657;0,00609657
140;6475,53;0,60946;0,42901;0,00754;0,79638;0,86047;0,88733;0,76368;0,709;0,62567;0,00972;0,00606829;0,00606829;0,00606829
141;6556,14;0,60119;0,43965;0,00775;0,86097;0,83983;0,90671;0,76151;0,78731;0,57652;0,01069;0,00604;0,00604;0,00604
142;6607,13;0,60473;0,4196;0,00753;0,89132;0,81634;0,91386;0,77162;0,71995;0,52795;0,01019;0,00601171;0,00601171;0,00601171
